Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 11:00:00,29.8,44.0,16.6,1008.3,0.0
2026-02-21 12:00:00,28.0,44.0,7.6,1009.3,0.0
2026-02-21 13:00:00,26.8,61.0,9.0,1009.4,0.0
2026-02-21 14:00:00,26.2,67.0,10.1,1010.6,0.0
2026-02-21 15:00:00,25.4,76.0,8.6,1011.7,0.0
2026-02-21 16:00:00,24.8,81.0,8.3,1012.2,0.0
2026-02-21 17:00:00,24.2,83.0,6.8,1012.2,0.0
2026-02-21 18:00:00,21.9,87.0,0.7,1011.8,0.0
2026-02-21 19:00:00,23.2,86.0,5.4,1010.9,0.0
2026-02-21 20:00:00,22.9,84.0,8.3,1010.1,0.0
2026-02-21 21:00:00,22.4,84.0,6.5,1009.2,0.0
2026-02-21 22:00:00,22.0,84.0,4.3,1008.9,0.0
2026-02-21 23:00:00,21.9,84.0,2.9,1008.9,0.0
2026-02-22 00:00:00,19.3,99.0,1.4,1009.5,0.0
2026-02-22 01:00:00,21.4,86.0,2.9,1010.5,0.0
2026-02-22 02:00:00,23.8,74.0,3.6,1011.3,0.0
2026-02-22 03:00:00,27.4,57.0,2.9,1011.9,0.0
2026-02-22 04:00:00,29.4,50.0,6.1,1012.0,0.0
2026-02-22 05:00:00,31.1,46.0,7.6,1011.6,0.0
2026-02-22 06:00:00,31.8,44.0,5.8,1010.0,0.0
2026-02-22 07:00:00,,,,,
2026-02-22 08:00:00,,,,,
2026-02-22 09:00:00,,,,,
2026-02-22 10:00:00,,,,,
2026-02-22 11:00:00,,,,,
2026-02-22 12:00:00,26.8,68.0,9.7,1006.8,
2026-02-22 13:00:00,,,,,
2026-02-22 14:00:00,,,,,
2026-02-22 15:00:00,,,,,
2026-02-22 16:00:00,,,,,
2026-02-22 17:00:00,,,,,
2026-02-22 18:00:00,23.3,93.0,5.4,1009.9,
2026-02-22 19:00:00,,,,,
2026-02-22 20:00:00,,,,,
2026-02-22 21:00:00,,,,,
2026-02-22 22:00:00,,,,,
2026-02-22 23:00:00,,,,,
2026-02-23 00:00:00,20.9,97.0,3.2,1008.6,
2026-02-23 01:00:00,,,,,
2026-02-23 02:00:00,,,,,
2026-02-23 03:00:00,,,,,
2026-02-23 04:00:00,,,,,
2026-02-23 05:00:00,,,,,
2026-02-23 06:00:00,31.5,50.0,9.7,1009.8,
2026-02-23 07:00:00,,,,,
2026-02-23 08:00:00,,,,,
2026-02-23 09:00:00,,,,,
2026-02-23 10:00:00,,,,,
2026-02-23 11:00:00,,,,,
2026-02-23 12:00:00,27.1,69.0,9.7,1007.2,
2026-02-23 13:00:00,,,,,
2026-02-23 14:00:00,,,,,
2026-02-23 15:00:00,,,,,
2026-02-23 16:00:00,,,,,
2026-02-23 17:00:00,,,,,
2026-02-23 18:00:00,24.1,92.0,6.1,1010.1,
2026-02-23 19:00:00,,,,,
2026-02-23 20:00:00,,,,,
2026-02-23 21:00:00,,,,,
2026-02-23 22:00:00,,,,,
2026-02-23 23:00:00,,,,,
2026-02-24 00:00:00,21.6,99.0,3.2,1009.0,
2026-02-24 01:00:00,,,,,
2026-02-24 02:00:00,,,,,
2026-02-24 03:00:00,,,,,
2026-02-24 04:00:00,,,,,
2026-02-24 05:00:00,,,,,
2026-02-24 06:00:00,32.1,42.0,8.6,1010.7,
